Mkt Al	Orig	Dest	Miles	Mon	Tue	Wed	Thu	Fri	Sat	Sun	Ops/Week	Seats	Seats/ Dep	ASMs
9X	LNS	IAD	102	3	3	3	3	3	1	2	18	162	9	16524
9X	LNS	PIT	210	2	2	2	2	2	1	1	12	108	9	22680
9X	LNY	HNL	73	8	7	7	7	7	7	7	50	450	9	32850
9X	LNY	OGG	34	3	3	3	3	3	3	3	21	189	9	6426
9X	LUP	HNL	62	2	2	2	2	2	1	1	12	108	9	6696
9X	LUP	MKK	9	3	3	2	3	3	1	3	18	162	9	1458
9X	MEM	ELD	206	1	0	0	1	1	0	1	4	36	9	7416
9X	MEM	HOT	182	0	0	0	0	1	0	1	2	18	9	3276
9X	MEM	HRO	197	1	0	0	1	1	0	1	4	36	9	7092
9X	MKK	HNL	54	20	20	20	21	20	18	21	140	1260	9	68040
9X	MKK	LUP	9	3	3	2	3	3	1	3	18	162	9	1458
9X	MKK	OGG	46	11	11	11	11	11	10	11	76	684	9	31464
9X	MUE	KOA	31	1	1	1	1	1	1	1	7	63	9	1953
9X	MUE	OGG	78	2	2	2	2	2	2	2	14	126	9	9828
9X	OGG	HNM	28	2	2	2	2	2	2	2	14	126	9	3528
9X	OGG	KOA	84	0	0	0	0	0	0	1	1	9	9	756
9X	OGG	LNY	34	3	3	3	3	3	3	3	21	189	9	6426
9X	OGG	MKK	46	11	11	11	11	11	10	11	76	684	9	31464
9X	OGG	MUE	78	2	2	2	2	2	2	2	14	126	9	9828
9X	PHX	IPL	211	1	1	1	1	1	1	1	7	63	9	13293
9X	PIT	BFD	123	2	2	2	2	2	1	1	12	108	9	13284
9X	PIT	DUJ	84	3	3	3	3	3	2	2	19	171	9	14364
9X	PIT	LNS	210	2	2	2	2	2	1	1	12	108	9	22680
9X	STL	JBR	202	2	2	2	2	2	1	1	12	108	9	21816
AA	ABE	CLT	480	3	3	3	3	3	3	3	21	1596	76	766080
AA	ABI	DFW	157	5	4	4	5	5	5	5	33	2354	71.333	369578
AA	ABQ	DFW	569	6	6	5	6	6	6	6	41	6039	147.293	3436191
AA	ABQ	LAX	677	2	1	1	2	2	2	2	12	835	69.583	565295
AA	ABQ	ORD	1118	2	2	2	2	2	2	2	14	1064	76	1189552
AA	ABQ	PHX	328	5	3	4	5	4	4	5	30	2638	87.933	865264
AA	ACT	DFW	89	3	3	2	3	3	3	3	20	1366	68.3	121574
