Mkt Al,Orig,Dest,Miles,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Ops/Week,Seats,Seats/ Dep,ASMs
AA,CID,DFW,685,3,3,3,3,3,3,3,21,"2,012",95.8,"1,378,220"
AA,CID,MIA,"1,286",0,0,0,0,0,1,0,1,76,76.0,"97,736"
AA,CID,ORD,196,6,4,4,6,6,4,6,36,"2,593",72.0,"508,228"
AA,CID,PHX,"1,252",3,2,2,3,2,2,3,17,"1,138",66.9,"1,424,776"
AA,CLD,PHX,306,2,2,2,2,2,2,2,14,"1,064",76.0,"325,584"
AA,CLE,CLT,430,5,5,5,6,5,5,6,37,"4,655",125.8,"2,001,650"
AA,CLE,DCA,310,5,5,5,5,5,3,5,33,"2,299",69.7,"712,690"
AA,CLE,DFW,"1,021",4,4,3,4,4,4,4,27,"4,644",172.0,"4,741,524"
AA,CLE,JFK,425,1,1,1,1,1,2,1,8,597,74.6,"253,725"
AA,CLE,LGA,418,4,4,4,4,4,1,3,24,"1,692",70.5,"707,256"
AA,CLE,MIA,"1,080",2,2,2,2,2,2,2,14,"1,736",124.0,"1,874,880"
AA,CLE,ORD,316,7,5,5,7,7,7,7,45,"2,980",66.2,"941,680"
AA,CLE,PHL,363,3,3,3,3,3,3,3,21,"1,232",58.7,"447,216"
AA,CLE,PHX,"1,737",1,1,1,1,1,1,1,7,"1,050",150.0,"1,823,850"
AA,CLL,DFW,164,4,4,3,4,4,4,4,27,"1,964",72.7,"322,096"
AA,CLT,ABE,480,3,3,3,3,3,3,3,21,"1,596",76.0,"766,080"
AA,CLT,AGS,140,4,4,4,5,4,5,5,31,"1,550",50.0,"217,000"
AA,CLT,ALB,645,3,3,3,3,3,3,3,21,"2,864",136.4,"1,847,280"
AA,CLT,ANU,"1,715",0,0,0,0,0,1,0,1,172,172.0,"294,980"
AA,CLT,ATL,227,4,4,4,5,4,4,5,30,"2,644",88.1,"600,188"
AA,CLT,ATW,742,1,1,1,1,1,1,1,7,532,76.0,"394,744"
AA,CLT,AUA,"1,706",2,1,1,2,2,2,2,12,"2,100",175.0,"3,582,600"
AA,CLT,AUS,"1,033",5,5,5,6,5,4,6,36,"6,282",174.5,"6,489,306"
AA,CLT,AVL,92,6,5,5,7,6,6,7,42,"2,620",62.4,"241,040"
AA,CLT,AVP,508,2,2,2,3,2,3,3,17,"2,262",133.1,"1,149,096"
AA,CLT,BDA,954,1,1,1,1,1,0,1,6,768,128.0,"732,672"
